lat,lon,lat_sin,lat_cos,lon_sin,lon_cos,elevation,coastal_distance,coastal_distance_log,baseline_temp,baseline_humidity,baseline_solar_radiation,baseline_wind_speed,zone_tropical,zone_subtropical,zone_temperate,zone_cold,year,year_norm,year_sin,year_cos,intervention_green_roof,intervention_solar_panels,intervention_flood_walls,intervention_permeable,n_interventions,building_age,building_area,building_area_log,building_type,solar_x_green,solar_x_solar_panel,coast_x_flood_wall,city,resilience_score,temp_reduction_f,flood_risk_reduction,energy_savings_usd
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,0,1,0,0,1,72.20819172350733,566.9709894668943,6.342070342534557,0,0.0,0.72,0.0,san_francisco,37.38923407157944,0.3013581513328799,0.21721182177292866,959.1630317889022
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,0,1,1,1,3,60.68156238681681,144.09996944082013,4.977422949282402,4,0.0,0.72,0.6666666666666666,san_francisco,72.05922399533632,2.465194815511525,22.327039812317008,1317.553962571542
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,0,0,0,1,1,3.3291339089513983,952.5928430227503,6.86023679106349,3,0.0,0.0,0.0,san_francisco,39.68707972771534,1.7492227978297936,21.998772349680472,169.6540159914535
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,1,1,0,0,2,74.00960947014377,165.70186784914867,5.116206994547896,0,0.72,0.72,0.0,san_francisco,48.17647833730364,2.5179287663824397,0.31757547340720216,895.07919590107
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,0,1,1,1,3,6.6183999937950855,1802.1413787951128,7.497285633215757,2,0.0,0.72,0.6666666666666666,san_francisco,75.75723038593534,2.928369741002766,72.45921161472423,5971.245998545442
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,1,0,0,2,26.525519787404175,161.52222346986107,5.090814752233551,1,0.72,0.72,0.0,san_francisco,52.28028628696502,2.657925076092149,0.0,2114.364488337916
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,0,0,1,0,1,8.686059290835484,150.45922103969104,5.020316420662357,1,0.0,0.0,0.6666666666666666,san_francisco,47.70534951102306,0.2941377019608031,75.87603217879888,1.3027452147288585
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,1,0,0,1,2,18.417119271590465,93.21263095412027,4.545554259155304,4,0.72,0.0,0.0,san_francisco,54.63673513029203,3.737734727905422,20.204033834904813,544.6672474205803
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,1,0,1,2,23.273427051209488,209.21493116843249,5.348130489071555,1,0.0,0.72,0.0,san_francisco,51.243525503974816,2.1183251363453226,26.128993308004148,1949.8522870794159
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,1,0,0,1,79.39004512446697,290.78609196844815,5.6760209720619175,2,0.0,0.72,0.0,san_francisco,42.951123994225846,0.6815954944872,0.07999580678671912,2303.6406621929536
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,0,1,0,1,2,52.932901053420885,739.7325559978633,6.607639637067869,0,0.0,0.72,0.0,san_francisco,51.78207578448695,2.1952088667980894,15.823792861245993,1337.1079002960962
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,1,1,1,4,9.820634592918882,1371.507420391407,7.224394579847328,1,0.72,0.72,0.6666666666666666,san_francisco,84.03102150108471,4.864607336486565,120.32175189197267,5064.866682441735
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2050,0.3333333333333333,0.8660254037844387,-0.49999999999999983,0,1,0,0,1,77.74611408487739,243.4418568922307,5.4989774765132875,4,0.0,0.72,0.0,san_francisco,42.72167051721296,0.4812040666696811,0.16878727439946678,1305.9646174732843
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,0,0,0,0,0,9.74660037028249,233.0566595574252,5.455563220908579,3,0.0,0.0,0.0,san_francisco,27.732543225965856,0.0,0.0,0.0
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,1,0,1,1,3,10.48462012458506,150.78131870998513,5.02244079223678,0,0.72,0.0,0.6666666666666666,san_francisco,75.99631319298814,4.120995031638351,23.473762506609923,595.890251471088
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,1,0,0,0,1,73.98467434496217,195.6135801028715,5.281240280113228,1,0.72,0.0,0.0,san_francisco,40.73842656313271,2.3107637106126924,0.08828667922685551,327.8868079215207
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,0,1,1,0,2,47.683404258749825,104.24632929309199,4.656303595879171,0,0.0,0.72,0.6666666666666666,san_francisco,52.78939848639361,0.7643644631679022,80.97436517419486,528.0302408771892
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,1,0,1,0,2,66.35428919061891,127.21181857714808,4.853683728826762,0,0.72,0.0,0.6666666666666666,san_francisco,54.55927912059725,2.189715112833284,106.21983786600043,338.3100489155196
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,0,1,0,1,2,52.15448204639793,42.193729022763215,3.765695323203002,4,0.0,0.72,0.0,san_francisco,54.408378427392094,1.8847713410672253,5.849678191957907,1128.9531085834979
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,1,1,0,1,3,8.422246388329997,75.82540320809309,4.3415353563996915,4,0.72,0.72,0.0,san_francisco,64.19908158139566,4.309621479368695,14.711055997477551,1922.2643392596417
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,0,1,0,1,13.242537818822253,167.9798327041684,5.129779374690882,4,0.0,0.0,0.6666666666666666,san_francisco,43.25622250999105,0.2854132968677515,101.7289214864458,0.0
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,0,1,1,2,4.270554610174031,392.1084746456732,5.974085590693712,0,0.0,0.0,0.6666666666666666,san_francisco,55.31615659970498,2.084755920261078,134.51061182405763,153.15843871536424
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,1,1,1,0,3,3.4780049610233554,222.00799652057455,5.407207629653863,3,0.72,0.72,0.6666666666666666,san_francisco,67.94361096867515,3.472097632145567,90.27831855589784,1862.4714311973335
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,0,0,0,0,0,41.90023589741098,80.4461911509819,4.399942570921872,1,0.0,0.0,0.0,san_francisco,26.322080679692473,0.11911429530888651,0.13137461257356925,4.801434033916109
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,1,0,1,3,78.36565444692741,152.6999969956984,5.0350026309980205,4,0.72,0.72,0.0,san_francisco,60.437007455839094,4.456142833830059,24.652634536116437,1505.7038629131505
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,1,1,0,1,3,41.13782961523316,1065.8117272009779,6.972429785124245,2,0.72,0.72,0.0,san_francisco,67.71065154427193,3.958750571335295,26.676322077849438,5940.363065052359
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,0,0,1,0,1,33.3511494875908,1376.570051291391,7.228076393666097,2,0.0,0.0,0.6666666666666666,san_francisco,50.92795232083782,0.132809106864141,18.6970388579041,0.0
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,0,0,1,0,1,23.750117965702824,897.8873317728813,6.801157700447319,3,0.0,0.0,0.6666666666666666,san_francisco,48.22836334559624,0.36350942137666004,60.798932214347815,11.774118889776936
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,1,1,0,1,3,64.35134623576619,181.89489976671027,5.208911669642845,2,0.72,0.72,0.0,san_francisco,63.43459602444428,4.410428647406956,26.073157248125074,2635.3724065076976
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,1,0,0,1,2,68.85752546607152,262.53844310427854,5.574199251473788,3,0.72,0.0,0.0,san_francisco,53.00839029527732,4.148984932218388,22.450954317511137,520.2648263602787
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,1,1,1,0,3,76.71041967272643,145.72483587033275,4.988558967822765,3,0.72,0.72,0.6666666666666666,san_francisco,66.05934811397658,3.360306982032458,72.89580023185307,1263.1003051443008
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2040,0.2,0.9510565162951535,0.30901699437494745,0,0,0,1,1,47.20607162866473,125.06826679727774,4.8368235602092575,1,0.0,0.0,0.0,san_francisco,42.752496830237405,1.6714114088932475,8.333721253573293,137.19635640591017
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,1,0,0,0,1,63.93957732096533,1231.772763230107,7.11702119034045,3,0.72,0.0,0.0,san_francisco,39.761466113135555,2.1070727859211584,0.0,376.03768603145505
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,0,1,1,3,52.62906280324223,570.5404022673542,6.348335175867061,0,0.72,0.0,0.6666666666666666,san_francisco,68.34457145415563,4.137334631230326,125.29800984367817,532.1483270641813
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,1,0,0,2,29.135361421764323,211.1294219816722,5.357196569449887,3,0.72,0.72,0.0,san_francisco,49.2325914386109,2.7420731243079732,0.19169693217674755,1732.2443621162088
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2050,0.3333333333333333,0.8660254037844387,-0.49999999999999983,1,0,1,1,3,58.374856694190235,116.32776548022574,4.764971432510514,1,0.72,0.0,0.6666666666666666,san_francisco,72.10599567864628,4.009294833594981,52.45379278894316,515.9063366016255
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,1,1,1,1,4,76.0955728003073,425.8624902516698,6.056461924482277,0,0.72,0.72,0.6666666666666666,san_francisco,78.53016325411966,5.286401224139608,106.2857294522168,1166.8409105383787
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2080,0.7333333333333333,-0.9945218953682733,-0.10452846326765423,0,0,0,0,0,0.984214871088227,906.4634276921518,6.810653265263192,3,0.0,0.0,0.0,san_francisco,28.33919704330791,0.0,0.0,0.0
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,0,1,0,0,1,62.50352283452127,59.57488639790076,4.103880391305053,2,0.0,0.72,0.0,san_francisco,47.969529855580305,0.23433810478724593,0.027176792695191132,1758.6618132861054
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,0,0,0,0,0,79.92837843793909,126.16934858245102,4.845519651604273,0,0.0,0.0,0.0,san_francisco,27.53006470560147,0.013824143205868193,0.3800665426879269,2.2921137411506844
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2040,0.2,0.9510565162951535,0.30901699437494745,0,0,1,1,2,62.14143525537749,555.8666767161171,6.322325851700118,2,0.0,0.0,0.6666666666666666,san_francisco,61.41524960334727,1.8628873300815738,38.010880165732395,118.40470630733553
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2040,0.2,0.9510565162951535,0.30901699437494745,0,0,1,0,1,48.474014211818215,66.9219939650845,4.218359899126415,0,0.0,0.0,0.6666666666666666,san_francisco,50.67204389972774,0.13844179167873252,26.42874290339448,0.0
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2100,1.0,-2.4492935982947064e-16,1.0,1,1,1,0,3,55.84966271829097,923.052518131015,6.828768907830606,0,0.72,0.72,0.6666666666666666,san_francisco,65.79789464720197,3.204978117776707,111.83705631438295,1760.4240455356587
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,0,1,1,1,3,58.76968735481292,100.67184283407029,4.621750399765276,0,0.0,0.72,0.6666666666666666,san_francisco,61.518830047387,2.363152617135142,125.25569258091674,692.7146166205823
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,0,0,0,0,0,3.3880441264133676,214.62951363152166,5.373561720350405,0,0.0,0.0,0.0,san_francisco,29.666099761626445,0.0,0.46414849578424217,0.0
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,0,1,1,0,2,36.684851396679186,375.3618299707211,5.930550994414769,4,0.0,0.72,0.6666666666666666,san_francisco,60.804241091327086,0.7765337017238858,72.08147538646318,1754.6206703892249
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,0,1,0,0,1,55.98207556712529,175.6532406302766,5.174188718557786,2,0.0,0.72,0.0,san_francisco,45.18458577332101,0.6281781311263983,0.1916885565912352,2097.560760035348
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,1,1,1,0,3,9.53740209581957,262.27173824123923,5.573186724019804,2,0.72,0.72,0.6666666666666666,san_francisco,75.91968037261825,3.10077261297621,74.05242724628597,3173.964951155185
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,1,0,1,0,2,32.702648754295765,49.92053827178454,3.9302663445639023,4,0.72,0.0,0.6666666666666666,san_francisco,59.28934220092641,2.202874633485942,54.5035001514235,395.6800508034201
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,0,1,1,1,3,18.04742945633688,93.49508645761985,4.54854783799044,2,0.0,0.72,0.6666666666666666,san_francisco,74.19552436058339,2.4850666351609028,70.28970918135792,2202.366442069156
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2070,0.6,-0.587785252292473,-0.8090169943749475,0,1,0,1,2,43.93155068797435,78.10560129948557,4.37078368515506,1,0.0,0.72,0.0,san_francisco,54.21063306570563,2.1260380214618215,20.691879303753485,1507.7228728921375
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2090,0.8666666666666667,-0.743144825477394,0.6691306063588585,1,0,0,0,1,73.68457578361533,231.18466473726943,5.447533023746354,4,0.72,0.0,0.0,san_francisco,38.7317585909415,2.2413544856062972,0.0,359.35378841731887
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2060,0.4666666666666667,0.20791169081775931,-0.9781476007338057,0,1,1,1,3,5.764731765835496,724.3589120648071,6.586666583481166,0,0.0,0.72,0.6666666666666666,san_francisco,70.24299976483533,2.4883183006002314,70.60881305841872,1557.8896711889877
37.77,-122.42,0.6124932454588955,0.790475821431136,-0.8441408352305594,-0.5361214883739073,52,0.5,0.4054651081081644,14.5,75,180,7.0,0,0,1,0,2030,0.06666666666666667,0.40673664307580015,0.9135454576426009,1,0,1,1,3,59.41540533800685,174.93117867866883,5.170092888331057,1,0.72,0.0,0.6666666666666666,san_francisco,75.11372300059628,3.745375110901245,20.55370057041483,526.8645537570592
